@relation weather

@attribute agegroup {15-25,25-45,45-65}
@attribute gender {male,female}
@attribute profession {it,commerce,business}
@attribute list{list1,list2,list3}

@data
15-25,female,it,list1
15-25,female,commerce,list2
45-65,female,it,list1

45-65,female,business,?
45-65,female,commerce,?
45-65,female,commerce,?
45-65,female,commerce,?
45-65,female,commerce,?
45-65,female,commerce,?
45-65,female,commerce,?
45-65,female,commerce,?
45-65,female,commerce,?
45-65,female,commerce,?
45-65,female,commerce,?
15-25,female,commerce,?
15-25,female,commerce,?
15-25,female,commerce,?
15-25,female,commerce,?
15-25,female,commerce,?
15-25,female,commerce,?
15-25,female,commerce,?
15-25,female,commerce,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
25-45,male,business,?
25-45,male,business,?
15-25,male,commerce,?
15-25,male,commerce,?
25-45,male,business,?
25-45,male,business,?
25-45,male,business,?
25-45,male,business,?
15-25,male,business,?
15-25,male,business,?
25-45,male,business,?
25-45,male,business,?
15-25,male,business,?
15-25,male,business,?
45-65,male,it,?
45-65,male,it,?
45-65,male,it,?
45-65,male,it,?
45-65,male,it,?
45-65,male,it,?
45-65,male,business,?
45-65,male,business,?
45-65,male,commerce,?
45-65,male,commerce,?

15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,it,?
15-25,male,business,?
15-25,male,business,?
25-45,male,business,?
25-45,male,business,?
45-65,male,business,?
45-65,male,business,?
45-65,male,business,?
45-65,male,business,?
15-25,male,it,?
15-25,male,it,?


15-25,male,business,?
15-25,male,business,?

15-25,male,business,?
15-25,male,business,?

15-25,male,business,?
15-25,male,business,?
15-25,female,it,?
15-25,female,it,?
15-25,male,business,?
15-25,male,business,?
45-65,male,it,?
45-65,male,it,?
45-65,male,business,?
45-65,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
15-25,male,business,?
45-65,female,it,?
45-65,female,it,?
15-25,male,business,?
15-25,male,business,?
